Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Conditions,Date
14:56,66.0 ,50.0 ,0.56,29.99 ,10.0 ,WNW,18.4 ,Partly Cloudy,8/4/2013
15:56,64.9 ,50.0 ,0.58,29.99 ,10.0 ,WNW,20.7 ,Partly Cloudy,8/4/2013
16:56,63.0 ,50.0 ,0.63,29.98 ,10.0 ,WNW,23.0 ,Partly Cloudy,8/4/2013
17:56,61.0 ,50.0 ,0.67,29.99 ,10.0 ,West,20.7 ,Scattered Clouds,8/4/2013
18:32,59.0 ,50.0 ,0.72,29.99 ,10.0 ,West,21.9 ,Mostly Cloudy,8/4/2013
19:56,57.9 ,52.0 ,0.81,30.00 ,10.0 ,West,18.4 ,Mostly Cloudy,8/4/2013
20:56,57.9 ,52.0 ,0.81,30.01 ,10.0 ,West,16.1 ,Overcast,8/4/2013
21:56,57.9 ,52.0 ,0.81,30.03 ,10.0 ,WSW,10.4 ,Overcast,8/4/2013
22:56,57.0 ,52.0 ,0.83,30.03 ,10.0 ,SW,11.5 ,Overcast,8/4/2013
23:56,57.0 ,52.0 ,0.83,30.02 ,10.0 ,WSW,8.1 ,Overcast,8/4/2013
0:56,57.0 ,52.0 ,0.83,30.02 ,10.0 ,SSW,3.5 ,Overcast,8/5/2013
1:56,57.0 ,51.1 ,0.81,30.01 ,10.0 ,Variable,4.6 ,Overcast,8/5/2013
2:03,57.2 ,51.8 ,0.82,30.01 ,10.0 ,WSW,6.9 ,Overcast,8/5/2013
3:03,57.2 ,51.8 ,0.82,30.01 ,10.0 ,West,8.1 ,Overcast,8/5/2013
4:56,57.0 ,51.1 ,0.81,30.00 ,10.0 ,SW,5.8 ,Overcast,8/5/2013
5:56,57.0 ,51.1 ,0.81,30.01 ,10.0 ,West,5.8 ,Mostly Cloudy,8/5/2013
6:56,55.9 ,51.1 ,0.84,30.03 ,10.0 ,WSW,8.1 ,Overcast,8/5/2013
7:56,57.0 ,51.1 ,0.81,30.03 ,10.0 ,West,8.1 ,Overcast,8/5/2013
8:56,57.0 ,51.1 ,0.81,30.04 ,10.0 ,WSW,8.1 ,Overcast,8/5/2013
9:56,59.0 ,51.1 ,0.75,30.04 ,10.0 ,WNW,9.2 ,Overcast,8/5/2013
10:56,61.0 ,52.0 ,0.72,30.04 ,10.0 ,WNW,11.5 ,Overcast,8/5/2013
11:56,63.0 ,51.1 ,0.65,30.04 ,10.0 ,WNW,15.0 ,Scattered Clouds,8/5/2013
12:56,64.0 ,51.1 ,0.63,30.02 ,10.0 ,WNW,13.8 ,Partly Cloudy,8/5/2013
13:56,66.0 ,51.1 ,0.59,30.02 ,10.0 ,West,19.6 ,Partly Cloudy,8/5/2013
14:56,64.0 ,51.1 ,0.63,30.01 ,10.0 ,WNW,21.9 ,Partly Cloudy,8/5/2013
15:56,63.0 ,50.0 ,0.63,30.00 ,10.0 ,WNW,25.3 ,Partly Cloudy,8/5/2013
16:56,62.1 ,50.0 ,0.65,29.99 ,10.0 ,WNW,21.9 ,Partly Cloudy,8/5/2013
17:56,61.0 ,50.0 ,0.67,29.98 ,10.0 ,West,19.6 ,Scattered Clouds,8/5/2013
18:56,57.9 ,50.0 ,0.75,29.98 ,10.0 ,WNW,17.3 ,Scattered Clouds,8/5/2013
19:56,57.0 ,50.0 ,0.77,29.99 ,10.0 ,West,18.4 ,Mostly Cloudy,8/5/2013
20:08,57.2 ,50.0 ,0.77,29.99 ,10.0 ,West,19.6 ,Mostly Cloudy,8/5/2013
21:26,55.4 ,50.0 ,0.82,30.01 ,10.0 ,West,10.4 ,Mostly Cloudy,8/5/2013
22:56,55.9 ,51.1 ,0.84,30.01 ,10.0 ,West,11.5 ,Overcast,8/5/2013
23:56,55.9 ,51.1 ,0.84,30.01 ,10.0 ,WSW,6.9 ,Overcast,8/5/2013
0:56,62.1 ,57.0 ,0.84,29.91 ,10.0 ,West,8.1 ,Mostly Cloudy,8/1/2014
1:56,62.1 ,57.9 ,0.86,29.91 ,10.0 ,WNW,8.1 ,Mostly Cloudy,8/1/2014
2:56,60.8 ,57.2 ,0.88,29.90 ,10.0 ,WNW,9.2 ,Mostly Cloudy,8/1/2014
3:56,60.1 ,57.0 ,0.9,29.90 ,10.0 ,WNW,12.7 ,Mostly Cloudy,8/1/2014
4:56,60.1 ,57.0 ,0.9,29.90 ,10.0 ,WNW,9.2 ,Mostly Cloudy,8/1/2014
5:56,60.1 ,57.0 ,0.9,29.90 ,10.0 ,WNW,9.2 ,Mostly Cloudy,8/1/2014
6:56,60.1 ,57.9 ,0.93,29.91 ,10.0 ,WNW,9.2 ,Scattered Clouds,8/1/2014
7:56,62.1 ,57.9 ,0.86,29.91 ,10.0 ,WNW,10.4 ,Scattered Clouds,8/1/2014
8:56,64.0 ,57.9 ,0.8,29.92 ,10.0 ,WNW,12.7 ,Scattered Clouds,8/1/2014
9:56,66.0 ,57.9 ,0.75,29.92 ,10.0 ,NW,15.0 ,Partly Cloudy,8/1/2014
10:56,66.2 ,57.2 ,0.73,29.93 ,10.0 ,WNW,15.0 ,Partly Cloudy,8/1/2014
11:56,68.0 ,57.9 ,0.7,29.92 ,10.0 ,WNW,17.3 ,Partly Cloudy,8/1/2014
12:56,70.0 ,57.9 ,0.65,29.92 ,10.0 ,WNW,17.3 ,Partly Cloudy,8/1/2014
13:56,71.1 ,57.9 ,0.63,29.91 ,10.0 ,WNW,17.3 ,Partly Cloudy,8/1/2014
14:56,72.0 ,57.9 ,0.61,29.90 ,10.0 ,WNW,19.6 ,Partly Cloudy,8/1/2014
15:56,69.8 ,57.2 ,0.64,29.89 ,10.0 ,WNW,21.9 ,Partly Cloudy,8/1/2014
16:56,66.9 ,57.0 ,0.7,29.88 ,10.0 ,WNW,21.9 ,Partly Cloudy,8/1/2014
17:56,66.0 ,57.0 ,0.73,29.87 ,10.0 ,NW,20.7 ,Partly Cloudy,8/1/2014
18:56,64.0 ,57.0 ,0.78,29.87 ,10.0 ,NW,18.4 ,Partly Cloudy,8/1/2014
19:56,61.0 ,57.0 ,0.87,29.88 ,10.0 ,WNW,18.4 ,Scattered Clouds,8/1/2014
20:56,61.0 ,57.0 ,0.87,29.89 ,10.0 ,WNW,18.4 ,Scattered Clouds,8/1/2014
21:56,60.1 ,57.0 ,0.9,29.91 ,10.0 ,WNW,19.6 ,Partly Cloudy,8/1/2014
22:56,60.8 ,57.2 ,0.88,29.91 ,10.0 ,WNW,16.1 ,Partly Cloudy,8/1/2014
23:56,60.1 ,57.0 ,0.9,29.91 ,10.0 ,WNW,13.8 ,Partly Cloudy,8/1/2014
0:56,59.0 ,57.0 ,0.93,29.92 ,10.0 ,WNW,11.5 ,Scattered Clouds,8/2/2014
1:56,59.0 ,57.2 ,0.94,29.91 ,10.0 ,WNW,12.7 ,Partly Cloudy,8/2/2014
2:56,59.0 ,57.0 ,0.93,29.91 ,10.0 ,WNW,12.7 ,Scattered Clouds,8/2/2014
3:56,59.0 ,57.0 ,0.93,29.91 ,10.0 ,WNW,9.2 ,Partly Cloudy,8/2/2014
4:11,59.0 ,57.2 ,0.94,29.91 ,10.0 ,WNW,9.2 ,Mostly Cloudy,8/2/2014
5:56,60.1 ,57.0 ,0.9,29.93 ,10.0 ,WNW,4.6 ,Overcast,8/2/2014
6:56,60.1 ,57.0 ,0.9,29.94 ,10.0 ,WNW,9.2 ,Overcast,8/2/2014
7:56,61.0 ,57.0 ,0.87,29.95 ,10.0 ,West,9.2 ,Mostly Cloudy,8/2/2014
8:48,62.6 ,57.2 ,0.82,29.96 ,10.0 ,WNW,8.1 ,Scattered Clouds,8/2/2014
9:56,64.4 ,57.2 ,0.77,29.96 ,10.0 ,WNW,12.7 ,Scattered Clouds,8/2/2014
10:56,64.9 ,57.0 ,0.75,29.96 ,10.0 ,WNW,18.4 ,Partly Cloudy,8/2/2014
11:56,66.0 ,57.0 ,0.73,29.96 ,10.0 ,WNW,20.7 ,Partly Cloudy,8/2/2014
12:56,68.0 ,57.0 ,0.68,29.96 ,10.0 ,WNW,20.7 ,Scattered Clouds,8/2/2014
13:56,68.0 ,55.9 ,0.65,29.96 ,10.0 ,WNW,23.0 ,Partly Cloudy,8/2/2014
14:56,66.9 ,57.0 ,0.7,29.95 ,10.0 ,WNW,26.5 ,Partly Cloudy,8/2/2014
15:56,66.9 ,55.9 ,0.68,29.93 ,10.0 ,WNW,26.5 ,Partly Cloudy,8/2/2014
16:56,66.0 ,55.9 ,0.7,29.92 ,10.0 ,WNW,23.0 ,Partly Cloudy,8/2/2014
17:56,64.9 ,55.9 ,0.73,29.91 ,10.0 ,West,24.2 ,Partly Cloudy,8/2/2014
18:56,63.0 ,55.9 ,0.78,29.91 ,10.0 ,West,18.4 ,Partly Cloudy,8/2/2014
19:24,62.6 ,55.4 ,0.77,29.91 ,10.0 ,West,21.9 ,Mostly Cloudy,8/2/2014
20:56,60.1 ,55.9 ,0.86,29.92 ,10.0 ,WNW,12.7 ,Scattered Clouds,8/2/2014
21:09,60.8 ,55.4 ,0.82,29.92 ,10.0 ,WNW,12.7 ,Mostly Cloudy,8/2/2014
22:42,60.8 ,55.4 ,0.82,29.94 ,10.0 ,WNW,9.2 ,Overcast,8/2/2014
23:56,60.1 ,55.9 ,0.86,29.94 ,10.0 ,WSW,5.8 ,Mostly Cloudy,8/2/2014
0:56,61.0 ,55.9 ,0.83,29.93 ,10.0 ,WSW,9.2 ,Mostly Cloudy,8/3/2014
1:56,61.0 ,55.9 ,0.83,29.94 ,10.0 ,Calm,Calm,Mostly Cloudy,8/3/2014
2:56,61.0 ,55.9 ,0.83,29.94 ,10.0 ,WSW,5.8 ,Overcast,8/3/2014
3:56,61.0 ,55.9 ,0.83,29.94 ,10.0 ,SW,3.5 ,Mostly Cloudy,8/3/2014
4:56,61.0 ,55.0 ,0.81,29.94 ,10.0 ,Calm,Calm,Overcast,8/3/2014
5:56,61.0 ,55.9 ,0.83,29.95 ,10.0 ,South,4.6 ,Overcast,8/3/2014
6:11,60.8 ,55.4 ,0.82,29.95 ,10.0 ,SSW,3.5 ,Mostly Cloudy,8/3/2014
7:56,62.1 ,57.0 ,0.84,29.97 ,10.0 ,SW,3.5 ,Mostly Cloudy,8/3/2014
8:56,64.0 ,55.9 ,0.75,29.98 ,10.0 ,WSW,6.9 ,Mostly Cloudy,8/3/2014
9:56,64.0 ,55.9 ,0.75,29.98 ,10.0 ,West,11.5 ,Mostly Cloudy,8/3/2014
10:56,66.0 ,55.9 ,0.7,29.98 ,10.0 ,WNW,12.7 ,Mostly Cloudy,8/3/2014
11:07,66.2 ,55.4 ,0.68,29.97 ,10.0 ,WNW,15.0 ,Mostly Cloudy,8/3/2014
12:56,66.9 ,55.0 ,0.66,29.97 ,10.0 ,West,17.3 ,Mostly Cloudy,8/3/2014
13:56,68.0 ,55.9 ,0.65,29.96 ,10.0 ,West,17.3 ,Mostly Cloudy,8/3/2014
14:56,69.1 ,55.9 ,0.63,29.95 ,10.0 ,West,18.4 ,Mostly Cloudy,8/3/2014
15:56,68.0 ,55.9 ,0.65,29.94 ,10.0 ,West,17.3 ,Mostly Cloudy,8/3/2014
16:56,68.0 ,55.9 ,0.65,29.94 ,10.0 ,West,18.4 ,Mostly Cloudy,8/3/2014
17:56,66.9 ,55.9 ,0.68,29.93 ,10.0 ,West,19.6 ,Mostly Cloudy,8/3/2014
18:56,64.0 ,55.0 ,0.73,29.93 ,10.0 ,West,19.6 ,Mostly Cloudy,8/3/2014
19:56,63.0 ,55.0 ,0.75,29.94 ,10.0 ,West,16.1 ,Mostly Cloudy,8/3/2014
20:56,62.1 ,55.0 ,0.78,29.95 ,10.0 ,West,12.7 ,Mostly Cloudy,8/3/2014
21:35,62.6 ,55.4 ,0.77,29.96 ,10.0 ,WSW,10.4 ,Mostly Cloudy,8/3/2014
22:56,61.0 ,55.9 ,0.83,29.96 ,10.0 ,West,10.4 ,Mostly Cloudy,8/3/2014
23:56,61.0 ,55.9 ,0.83,29.96 ,10.0 ,WSW,11.5 ,Mostly Cloudy,8/3/2014
0:56,61.0 ,55.9 ,0.83,29.96 ,10.0 ,WSW,9.2 ,Overcast,8/4/2014
1:56,60.1 ,55.9 ,0.86,29.95 ,10.0 ,WSW,10.4 ,Overcast,8/4/2014
2:56,61.0 ,55.9 ,0.83,29.95 ,10.0 ,WSW,5.8 ,Overcast,8/4/2014
3:56,61.0 ,55.9 ,0.83,29.95 ,10.0 ,West,9.2 ,Overcast,8/4/2014
4:56,61.0 ,55.9 ,0.83,29.96 ,10.0 ,WSW,4.6 ,Overcast,8/4/2014
5:56,61.0 ,55.9 ,0.83,29.96 ,10.0 ,WSW,4.6 ,Mostly Cloudy,8/4/2014
6:56,61.0 ,55.9 ,0.83,29.96 ,10.0 ,SW,8.1 ,Mostly Cloudy,8/4/2014
7:56,61.0 ,55.9 ,0.83,29.97 ,10.0 ,SW,6.9 ,Mostly Cloudy,8/4/2014
8:56,62.1 ,55.0 ,0.78,29.99 ,10.0 ,SW,4.6 ,Mostly Cloudy,8/4/2014
9:56,64.9 ,55.9 ,0.73,29.98 ,10.0 ,South,5.8 ,Mostly Cloudy,8/4/2014
10:10,66.2 ,55.4 ,0.68,29.98 ,10.0 ,SSW,4.6 ,Mostly Cloudy,8/4/2014
11:56,69.1 ,57.9 ,0.68,29.99 ,10.0 ,NNE,6.9 ,Mostly Cloudy,8/4/2014
12:56,71.1 ,59.0 ,0.66,29.99 ,10.0 ,Variable,3.5 ,Mostly Cloudy,8/4/2014
13:56,72.0 ,57.9 ,0.61,29.98 ,10.0 ,WSW,12.7 ,Mostly Cloudy,8/4/2014
14:56,72.0 ,57.9 ,0.61,29.98 ,10.0 ,West,6.9 ,Mostly Cloudy,8/4/2014
15:56,73.9 ,59.0 ,0.59,29.98 ,10.0 ,Variable,4.6 ,Mostly Cloudy,8/4/2014
16:56,72.0 ,57.9 ,0.61,29.97 ,10.0 ,NW,16.1 ,Mostly Cloudy,8/4/2014
17:56,72.0 ,57.9 ,0.61,29.95 ,10.0 ,WNW,11.5 ,Mostly Cloudy,8/4/2014
18:56,70.0 ,57.9 ,0.65,29.94 ,10.0 ,WNW,13.8 ,Mostly Cloudy,8/4/2014
19:56,66.9 ,59.0 ,0.76,29.95 ,10.0 ,NW,11.5 ,Mostly Cloudy,8/4/2014
20:56,64.9 ,57.9 ,0.78,29.96 ,10.0 ,WNW,13.8 ,Mostly Cloudy,8/4/2014
22:56,63.0 ,57.0 ,0.81,30.01 ,10.0 ,West,10.4 ,Scattered Clouds,8/4/2014
23:56,63.0 ,57.0 ,0.81,30.01 ,10.0 ,West,9.2 ,Mostly Cloudy,8/4/2014
0:56,63.0 ,57.0 ,0.81,30.01 ,10.0 ,West,8.1 ,Mostly Cloudy,8/5/2014
1:03,62.6 ,57.2 ,0.82,30.00 ,10.0 ,West,8.1 ,Scattered Clouds,8/5/2014
2:56,63.0 ,57.9 ,0.84,30.01 ,10.0 ,WNW,8.1 ,Scattered Clouds,8/5/2014
3:56,63.0 ,57.9 ,0.84,30.01 ,10.0 ,West,4.6 ,Scattered Clouds,8/5/2014
4:56,62.1 ,57.9 ,0.86,30.02 ,10.0 ,WNW,10.4 ,Mostly Cloudy,8/5/2014
5:56,63.0 ,57.9 ,0.84,30.02 ,10.0 ,WSW,6.9 ,Overcast,8/5/2014
6:56,62.1 ,57.9 ,0.86,30.02 ,10.0 ,West,8.1 ,Overcast,8/5/2014
7:56,63.0 ,57.9 ,0.84,30.04 ,10.0 ,WNW,10.4 ,Mostly Cloudy,8/5/2014
8:56,63.0 ,57.9 ,0.84,30.08 ,10.0 ,West,10.4 ,Overcast,8/5/2014
9:56,64.9 ,57.9 ,0.78,30.07 ,10.0 ,NNW,8.1 ,Overcast,8/5/2014
10:39,66.2 ,59.0 ,0.78,30.07 ,10.0 ,NNW,6.9 ,Mostly Cloudy,8/5/2014
11:56,69.1 ,60.1 ,0.73,30.07 ,10.0 ,NE,5.8 ,Mostly Cloudy,8/5/2014
12:56,71.1 ,61.0 ,0.7,30.05 ,10.0 ,NNE,6.9 ,Mostly Cloudy,8/5/2014
13:56,73.0 ,62.1 ,0.68,30.04 ,10.0 ,NW,12.7 ,Mostly Cloudy,8/5/2014
14:16,69.8 ,59.0 ,0.68,30.04 ,10.0 ,WNW,18.4 ,Mostly Cloudy,8/5/2014
15:56,72.0 ,59.0 ,0.64,30.03 ,10.0 ,WNW,13.8 ,Mostly Cloudy,8/5/2014
16:56,69.1 ,57.9 ,0.68,30.02 ,10.0 ,WNW,18.4 ,Mostly Cloudy,8/5/2014
17:56,66.9 ,57.9 ,0.73,30.01 ,10.0 ,WNW,15.0 ,Mostly Cloudy,8/5/2014
18:56,64.0 ,57.9 ,0.8,30.02 ,10.0 ,West,19.6 ,Mostly Cloudy,8/5/2014
19:56,64.0 ,57.9 ,0.8,30.01 ,10.0 ,West,12.7 ,Mostly Cloudy,8/5/2014
20:56,66.0 ,59.0 ,0.78,30.02 ,10.0 ,WNW,9.2 ,Mostly Cloudy,8/5/2014
21:56,64.9 ,57.9 ,0.78,30.03 ,10.0 ,West,11.5 ,Mostly Cloudy,8/5/2014
22:56,64.0 ,57.9 ,0.8,30.03 ,10.0 ,WNW,11.5 ,Mostly Cloudy,8/5/2014
23:56,64.9 ,59.0 ,0.81,30.02 ,10.0 ,West,10.4 ,Mostly Cloudy,8/5/2014
0:56,64.0 ,59.0 ,0.84,30.03 ,10.0 ,WNW,11.5 ,Mostly Cloudy,8/6/2014
1:56,64.9 ,59.0 ,0.81,30.02 ,10.0 ,West,5.8 ,Mostly Cloudy,8/6/2014
2:56,66.0 ,59.0 ,0.78,30.01 ,10.0 ,WNW,5.8 ,Mostly Cloudy,8/6/2014
3:56,64.9 ,60.1 ,0.84,30.02 ,10.0 ,West,8.1 ,Light Rain,8/6/2014
4:56,64.9 ,61.0 ,0.87,30.00 ,10.0 ,NW,4.6 ,Overcast,8/6/2014
